"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,200,,30,2009-01,02-860-3437,37.5065824166,126.8532782573,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,2,200,,30,2009-01,02-860-3437,37.5065824166,126.8532782573,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,200,,30,2009-01,02-860-3437,37.5065824166,126.8532782573,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 개봉로3가길 88-9,서울특별시 구로구 개봉동 312-25,생활방범,4,200,,30,2009-01,02-860-3437,37.4829381876,126.8518139725,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,생활방범,3,200,,30,2010-01,02-860-3437,37.4931916033,126.8734732749,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구일로 62,서울특별시 구로구 구로동 685-219,생활방범,4,200,,30,2010-01,02-860-3437,37.4917761694,126.8743621874,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로동 513-34,생활방범,3,200,,30,2010-01,02-860-3437,37.4977202471,126.8860498578,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로동 511-25,생활방범,3,200,,30,2010-01,02-860-3437,37.4968469607,126.8849022430,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 가마산로26길 34,서울특별시 구로구 구로동 90 - 1,생활방범,5,41,,30,2010-01,02-860-3437,37.4947773652,126.8915862854,2020-04-27
"서울특별시 구로구청",서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,생활방범,3,200,,30,2010-01,02-860-3437,37.4996591332,126.8897652795,2020-04-27
